prompt,completion
"안녕하세요. 홍길동입니다. 오늘 오전 11시 예약인데, 오후로 바꿀 수 있는지 궁금해서요.","네, 홍길동님. 예약 내역 확인되었습니다. 오늘 오후로 변경 가능합니다. 홍길동님께서 몇 시쯤 진료를 받으시면 가장 좋을지 말씀해주시면, 제가 그 시간을 우선적으로 확인해드릴게요."
음... 2시나 3시쯤이요?,"네, 2시나 3시 말씀이시군요. 확인해보니 2시는 예약이 가능합니다. 3시는 아쉽게도 마감되었습니다. 그럼 2시로 변경해드릴까요?"
"네, 2시로 바꿔주세요.","네, 홍길동님. 2025년 7월 1일 화요일 오후 2시로 진료 예약이 변경되었습니다. 혹시 진료 오시기 전에 복용하시는 약이 있나요?"
"아, 네. 약은 딱히 없어요.","네, 알겠습니다. 그럼 진료 시에 뵙겠습니다."
안녕하세요. ,"네, 경희내과입니다. 무엇을 도와드릴까요?"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
